L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,size,covered
2RadLex entity,Radlex descriptor,density descriptor,hypodense,,,,,,,,1,0
3RadLex entity,Radlex descriptor,density descriptor,high density,hyperdense,,,,,,,1,0
1RadLex entity,Radlex descriptor,uniformity descriptor,homogeneous,,,,,,,,1,0
3RadLex entity,Radlex descriptor,uniformity descriptor,heterogeneous,,,,,,,,1,0
1RadLex entity,anatomical entity,material anatomical entity,anatomical structure,body region,musculoskeletal region,bone region,physis,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,long,,,,,,,,1,0
12RadLex entity,Radlex descriptor,morphologic descriptor,tubular,,,,,,,,1,0
3RadLex entity,Radlex descriptor,anatomically-related descriptor,intramural,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,intraperitoneal,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,extraperitoneal,,,,,,,,1,0
5RadLex entity,Radlex descriptor,anatomically-related descriptor,interstitial,,,,,,,,1,0
